index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$2.72,"0.00
(0.00)","$2.72
-
$2.73","108,896","241,681","$297,008",$2.72,$2.72 - $2.74,$2.725,$2.72,6:58pm 03/11 (AEDT),+0.74%,-2.51%,+11.93%,+11.02%,+9.76%,+9.27%,"$1,348,471,734","254 of 2,408",30 of 197,"495,761,667",Industrials,MAD / MND / RDX,$0.197,$0.201,-$3.973,"5 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,DBI
Value,$7.07,"0.00
(0.00)","$6.60
-
‐",0,145,$0,‐,‐ - ‐,‐,$7.07,6:58pm 03/11 (AEDT),+0.28%,-10.39%,-10.39%,-10.39%,-11.65%,-12.15%,"$1,262,863,330","259 of 2,408",-,"178,622,819",N/A,-,$0.00,$0.00,$0.00,"5 Buy
· 4 Hold
· 0 Sell",Buy,01/10/23,FRW
Value,$8.38,"0.09
(-1.06%)","$8.37
-
$8.41","81,154,643","10,227,333","$681,669,864",$8.35,$8.30 - $8.43,$8.395,$8.47,7:52pm 03/11 (AEDT),-8.81%,-5.52%,+8.55%,+48.32%,+31.45%,+46.57%,"$14,436,625,483","31 of 2,408",1 of 28,"1,722,747,671",Utilities,APA / AST / MCY,$0.609,$0.365,$0.65,"5 Buy
· 4 Hold
· 0 Sell",Buy,01/10/23,ORG
Value,$4.48,"0.01
(0.22%)","$4.47
-
$4.65","5,105","42,508","$23,449",$4.60,$4.48 - $4.65,$4.595,$4.47,6:58pm 03/11 (AEDT),-0.88%,-4.88%,-10.76%,+1.13%,-15.74%,-0.63%,"$5,673,358,069","89 of 2,408",6 of 28,"1,266,374,569",Utilities,SKI / AGL / MCY,$0.197,$0.1601,$2.286,"2 Buy
· 3 Hold
· 6 Sell",Sell,01/10/23,MEZ
Value,$8.37,"0.15
(1.83%)","$8.34
-
$8.38","1,685,501","2,781,470","$14,094,994",$8.39,$8.30 - $8.40,$8.36,$8.22,6:58pm 03/11 (AEDT),+2.57%,+0.12%,-22.21%,-19.36%,-36.24%,-21.12%,"$10,738,357,949","46 of 2,408",2 of 28,"1,282,957,939",Utilities,AST / MCY / AGL,$0.223,$0.55,$0.457,"7 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,APA
Value,$10.59,"0.07
(0.67%)","$10.57
-
$10.62","1,574,975","1,721,986","$16,690,721",$10.62,$10.58 - $10.665,$10.605,$10.52,6:58pm 03/11 (AEDT),-1.49%,-0.94%,+31.23%,+49.58%,+32.70%,+47.82%,"$7,124,393,197","73 of 2,408",5 of 28,"672,747,233",Utilities,MCY / MEZ / SKI,-$1.879,$0.31,$2.882,"9 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,AGL
Value,$5.60,"0.12
(2.19%)","$5.30
-
$5.60",874,"6,789","$4,764",$5.50,$5.40 - $5.60,$5.45,$5.48,6:58pm 03/11 (AEDT),+1.82%,-3.28%,+8.95%,+9.37%,-7.50%,+7.62%,"$7,790,872,538","67 of 2,408",4 of 28,"1,391,227,239",Utilities,AGL / MEZ / AST,$0.074,$0.2011,$3.386,"1 Buy
· 5 Hold
· 5 Sell",Sell,01/10/23,MCY
Value,$7.29,"0.04
(0.55%)","$7.08
-
$7.70","3,602","9,956","$26,207",$7.27,$7.25 - $7.30,$7.275,$7.25,6:58pm 03/11 (AEDT),+1.39%,-2.80%,+0.55%,+7.21%,-9.67%,+5.45%,"$1,855,642,046","194 of 2,408",10 of 28,"254,546,234",Utilities,GNE / IFN / TLT,$0.163,$0.3167,$3.014,"7 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,CEN
Value,$2.17,"0.02
(0.93%)","$2.11
-
$2.20","18,082","20,899","$39,339",$2.15,$2.15 - $2.20,$2.175,$2.15,6:58pm 03/11 (AEDT),-2.25%,-4.41%,-10.70%,-17.18%,-34.05%,-18.93%,"$2,331,969,410","166 of 2,408",9 of 28,"1,074,640,281",Utilities,CEN / TLT / IFN,$0.185,$0.1642,$1.966,"5 Buy
· 3 Hold
· 1 Sell",Buy,01/10/23,GNE
Value,$1.635,"0.015
(0.93%)","$1.635
-
$1.67","38,498","79,426","$63,254",$1.64,$1.635 - $1.67,$1.643,$1.62,6:58pm 03/11 (AEDT),-2.10%,-4.94%,+2.50%,+3.79%,-13.09%,+2.03%,"$249,698,145","626 of 2,408",12 of 28,"152,720,578",Utilities,GNX / LGI / EWC,$0.00,$0.069,$0.00,,,,D2O
Value,$0.16,"0.01
(6.67%)","$0.155
-
$0.16","1,750,005","372,851","$272,608",$0.155,$0.1525 - $0.16,$0.156,$0.15,6:58pm 03/11 (AEDT),+3.23%,+6.67%,+18.52%,-20.00%,-36.87%,-21.75%,"$221,628,342","669 of 2,408",13 of 28,"1,385,177,140",Utilities,D2O / LGI / EWC,-$0.001,$0.00,$0.143,"5 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,GNX
Value,$2.07,"0.07
(3.50%)","$1.95
-
$2.07","10,829","22,197","$22,226",$2.06,$2.05 - $2.07,$2.05,$2.00,6:58pm 03/11 (AEDT),-1.43%,-2.36%,+15.00%,-0.48%,-17.35%,-2.24%,"$182,768,106","723 of 2,408",14 of 28,"88,293,771",Utilities,GNX / D2O / EWC,$0.073,$0.0231,$0.52,"0 Buy
· 4 Hold
· 4 Sell",Sell,01/10/23,LGI
