index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$4.60,"0.05
(1.10%)","$4.52
-
$4.60","31,555","42,038","$145,351",$4.57,$4.55 - $4.66,$4.605,$4.55,6:58pm 03/11 (AEDT),+7.23%,+0.66%,+6.24%,+15.00%,+16.50%,+13.25%,"$379,124,723","499 of 2,408",46 of 99,"82,418,418",Real Estate,REP / DXC / CDP,$0.38,$0.20,$0.733,"4 Buy
· 4 Hold
· 0 Sell",Buy,01/10/23,CWP
Value,$2.90,"0.03
(-1.02%)","$2.90
-
$3.01","38,533","12,691","$111,983",$2.92,$2.89 - $2.93,$2.905,$2.93,6:58pm 03/11 (AEDT),0.00,-4.61%,-10.22%,-14.71%,-13.21%,-16.46%,"$281,069,125","591 of 2,408",53 of 99,"96,920,388",Real Estate,UOS / APZ / APD,$0.306,$0.22,$0.947,"7 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,SRV
Value,$0.65,"0.005
(0.78%)","$0.645
-
$0.69","171,941","20,661","$111,491",$0.65,$0.64 - $0.66,$0.6485,$0.645,6:58pm 03/11 (AEDT),0.00,-0.76%,+3.17%,-2.99%,-1.49%,-4.74%,"$176,880,042","732 of 2,408",62 of 99,"272,123,142",Real Estate,NPR / AOF / WOT,$0.012,$0.00,$0.882,,,,FRI
Value,$3.90,"0.42
(12.07%)","$3.90
-
$3.98","1,270,163","1,236,910","$4,953,904",$3.65,$3.65 - $4.02,$3.90,$3.48,7:53pm 03/11 (AEDT),+2.09%,+16.07%,+20.00%,+32.20%,+15.59%,+30.45%,"$732,632,800","351 of 2,408",21 of 239,"187,854,564",Technology,FCL / NTO / IFM,-$0.222,$0.00,$0.451,,,,WBT
Value,$0.125,"0.01
(8.70%)","$0.125
-
$0.13","6,817,292","5,315,701","$870,131",$0.115,$0.115 - $0.135,$0.1275,$0.115,6:58pm 03/11 (AEDT),+13.64%,-7.41%,+247.22%,+400.00%,+383.39%,+398.25%,"$218,392,907","673 of 2,408",46 of 239,"1,747,143,252",Technology,QOR / EPD / DUG,-$0.004,$0.00,$0.003,,,,4DS
Value,$0.41,"0.01
(2.50%)","$0.40
-
$0.41","81,947","163,552","$32,936",$0.40,$0.40 - $0.41,$0.402,$0.40,6:58pm 03/11 (AEDT),+2.50%,-18.81%,-33.33%,-39.26%,-53.13%,-41.01%,"$104,487,275","908 of 2,408",67 of 239,"254,847,013",Technology,CRO / PX1 / LME,-$0.036,$0.00,$0.101,,,,AXE
Value,$0.061,"0.003
(-4.69%)","$0.06
-
$0.061","3,486,425","2,227,246","$217,614",$0.064,$0.059 - $0.065,$0.0625,$0.064,6:58pm 03/11 (AEDT),+8.93%,+52.50%,+134.73%,+110.45%,+93.84%,+108.70%,"$93,210,785","939 of 2,408",73 of 239,"1,528,045,654",Technology,VLT / PTG / WCG,-$0.009,$0.00,$0.009,,,,BLG
Value,$0.17,"0.005
(3.03%)","$0.155
-
$0.17","12,400","21,843","$2,016",$0.15,$0.15 - $0.17,$0.1625,$0.165,6:58pm 03/11 (AEDT),-2.86%,+47.83%,+30.77%,+30.77%,+14.15%,+29.02%,"$18,005,831","1,585 of 2,408",141 of 239,"105,916,654",Technology,CF1 / FLX / VIG,-$0.068,$0.00,$0.057,,,,RVS
Value,$0.003,"0.001
(-25.00%)","$0.003
-
$0.004","6,371,418","291,437","$21,253",$0.004,$0.003 - $0.004,$0.0035,$0.004,6:58pm 03/11 (AEDT),-25.00%,0.00,-94.23%,-96.20%,-112.82%,-97.96%,"$2,305,138","2,325 of 2,408",228 of 239,"768,379,278",Technology,DC2 / SIS / AO1,-$0.031,$0.00,$0.014,,,,PVS
Value,$60.05,"0.07
(0.12%)","$59.88
-
$61.00","453,986","553,763","$27,360,969",$60.61,$59.79 - $60.96,$60.205,$59.98,6:58pm 03/11 (AEDT),+2.13%,-7.01%,+18.33%,+4.80%,-11.82%,+3.05%,"$20,015,583,165","23 of 2,408",1 of 239,"333,315,290",Technology,APT / XRO / NXT,$0.693,$0.15,-$0.893,"10 Buy
· 8 Hold
· 1 Sell",Buy,01/10/23,WTC
